stop_id,changed_name
101,VAN CORTLAND PARK - 242 ST
103,238 ST
104,231 ST
106,MARBLE HILL - 225 ST
107,215 ST
108,207 ST
109,DYCKMAN ST
110,191 ST
111,181 ST
112,168 ST
113,157 ST
114,145 ST
115,137 ST - CITY COLLEGE
116,125 ST
117,116 ST - COLUMBIA UNIV
118,CATHEDRAL PKWY - 110 ST
119,103 ST
120,96 ST
121,86 ST
122,79 ST
123,72 ST
124,66 ST - LINCOLN CENTER
125,59 ST - COLUMBUS CIRCLE
126,50 ST
127,TIMES SQ - 42 ST
128,34 ST - PENN STA
129,28 ST
130,23 ST
131,18 ST
132,14 ST
133,CHRISTOPHER ST - SHERIDAN SQ
134,HOUSTON ST
135,CANAL ST
136,FRANKLIN ST
137,CHAMBERS ST
139,RECTOR ST
142,SOUTH FERRY
201,WAKEFIELD - 241 ST
204,NEREID AV
205,233 ST
206,225 ST
207,219 ST
208,GUN HILL RD
209,BURKE AV
210,ALLERTON AV
211,PELHAM PKWY
212,BRONX PARK EAST
213,EAST 180 ST
214,WEST FARMS SQ - E TREMONT AV
215,174 ST
216,FREEMAN ST
217,SIMPSON ST
218,INTERVALE AV
219,PROSPECT AV
220,JACKSON AV
221,3 AV - 149 ST
222,149 ST - GRAND CONCOURSE
224,135 ST
225,125 ST
226,116 ST
227,CENTRAL PARK NORTH - 110 ST
228,PARK PLACE
229,FULTON ST
230,WALL ST
231,CLARK ST
232,BOROUGH HALL
233,HOYT ST
234,NEVINS ST
235,ATLANTIC AV - BARCLAYS CTR
236,BERGEN ST
237,GRAND ARMY PLAZA
238,EASTERN PKWY - BROOKLYN MUSEUM
239,FRANKLIN AV
241,PRESIDENT ST
242,STERLING ST
243,WINTHROP ST
244,CHURCH AV
245,BEVERLY ROAD
246,NEWKIRK AV
247,FLATBUSH AV - BROOKLYN COLLEGE
248,NOSTRAND AV
249,KINGSTON AV
250,CROWN HEIGHTS - UTICA AV
251,SUTTER AV - RUTLAND RD
252,SARATOGA AV
253,ROCKAWAY AV
254,JUNIUS ST
255,PENNSYLVANIA AV
256,VAN SICLEN AV
257,NEW LOTS AV
301,HARLEM - 148 ST
302,145 ST
401,WOODLAWN
402,MOSHOLU PKWY
405,BEDFORD PARK BLVD - LEHMAN COLLEGE
406,KINGSBRIDGE ROAD
407,FORDHAM ROAD
408,183 ST
409,BURNSIDE AV
410,176 ST
411,MT EDEN AV
412,170 ST
413,167 ST
414,161 ST - YANKEE STADIUM
415,149 ST - GRAND CONCOURSE
416,138 ST - GRAND CONCOURSE
418,FULTON ST
419,WALL ST
420,BOWLING GREEN
423,BOROUGH HALL
501,EASTCHESTER - DYRE AV
502,BAYCHESTER AV
503,GUN HILL ROAD
504,PELHAM PKWY
505,MORRIS PARK
601,PELHAM BAY PARK
602,BUHRE AV
603,MIDDLETOWN ROAD
604,WESTCHESTER SQ - E TREMONT
606,ZEREGA AV
607,CASTLE HILL AV
608,PARKCHESTER
609,ST LAWRENCE AV
610,MORRISON AV - SOUNDVIEW
611,ELDER AV
612,WHITLOCK AV
613,HUNTS POINT AV
614,LONGWOOD AV
615,EAST 149 ST
616,E 143 ST - ST MARY'S ST
617,CYPRESS AV
618,BROOK AV
619,3 AV - 138 ST
621,125 ST
622,116 ST
623,110 ST
624,103 ST
625,96 ST
626,86 ST
627,77 ST
628,68 ST - HUNTER COLLEGE
629,59 ST
630,51 ST
631,GRAND CENTRAL - 42 ST
632,33 ST
633,28 ST
634,23 ST
635,14 ST - UNION SQ
636,ASTOR PL
637,BLEECKER ST
638,SPRING ST
639,CANAL ST
640,BROOKLYN BRIDGE - CITY HALL
901,GRAND CENTRAL - 42 ST
902,TIMES SQ - 42 ST
L01,8 AV - 14 ST
L02,6 AV
L03,14 ST - UNION SQUARE
L05,3 AV
L06,1 AV
L08,BEDFORD AV
L10,LORIMER ST
L11,GRAHAM AV
L12,GRAND ST
L13,MONTROSE AV
L14,MORGAN AV
L15,JEFFERSON ST
L16,DEKALB AV
L17,MYRTLE-WYCKOFF AVS
L19,HALSEY STS
L20,WILSON AV
L21,BUSHWICK AV - ABERDEEN ST
L22,BROADWAY JUNCTION
L24,ATLANTIC AV
L25,SUTTER AV
L26,LIVONIA AV
L27,NEW LOTS AV
L28,EAST 105 ST
L29,CANARSIE - ROCKAWAY PKWY
138,CORTLANDT ST
